5100046,The Bridge,1845-11-02,14 Seafield Road Longman Inverness,SEN Unit 2.0 Open
5100127,Bower Primary School,1908-01-19,Bowermadden Bower Caithness,01955 641225 Primary 25 2.6 Open
5100224,Canisbay Primary School,1928-07-05,Canisbay Wick,01955 611337 Primary 56 3.5 Open
5100321,Castletown Primary School,1913-11-04,Castletown Thurso,01847 821256 01847 821256 Primary 137 8.5 Open
5100429,Crossroads Primary School,1893-02-24,Dunnet Thurso,01847 851629 01847 851629 Primary 29 2.4 Open
5100526,Dunbeath Primary School,1805-01-08,Dunbeath,01593 731286 Primary 13 1.1 Open
5100623,Halkirk Primary School,1996-11-20,Halkirk,01847 831246 01847 831973 Primary 133 6.8 Open
5100720,Keiss Primary School,1976-03-03,Keiss Wick Caithness,01955 631269 Primary 50 3.0 Open
5100925,Lybster Primary School,1863-07-07,Lybster Wick,01593 721224 Primary 108 6.2 Open
5101026,Pennyland Primary School,1868-11-16,Trostan Road Thurso,01847 892661 01847 890601 Primary 247 13.3 Open
5101123,Reay Primary School,1925-03-01,Reay Thurso,01847 811206 01847 811206 Primary 73 4.4 Open
5101220,Thrumster Primary School,1891-04-28,Thrumster Wick,01955 651244 Primary 20 2.0 Open
5101328,Miller Academy Primary School,1866-09-05,Princes Street Thurso,01847 892815 01847 894427 Primary 342 16.3 Open
5101425,Mount Pleasant Primary School,1879-01-24,Castletown Road Thurso,01847 893419 01847 892601 Primary 160 10.5 Integrated SEN Unit Open
5101522,Watten Primary School,1874-09-17,Watten Nr Wick,01955 621287 Primary 54 3.5 Open
5101549,Caithness Early Years Autism Centre,1855-04-21,Seaforth Avenue Wick,01955 609424 SEN Unit 4 2.3 Open
5101727,North Primary School,1868-11-05,Girnigoe Street Wick,01955 602873 01955 602873 Primary 185 11.0 Open
